acc_val,epoch,iter_to_target,step,val_latency
,0,30.0,0,
,0,30.0,1,
,0,30.0,2,
,0,30.0,3,
,0,30.0,4,
,0,30.0,5,
,0,30.0,6,
,0,30.0,7,
,0,30.0,8,
,0,30.0,9,
,0,30.0,10,
,0,30.0,11,
,0,30.0,12,
0.3537999987602234,0,,12,2.169600009918213
,0,30.0,13,
,0,30.0,14,
,0,30.0,15,
,0,30.0,16,
,0,30.0,17,
,0,30.0,18,
,0,30.0,19,
,0,30.0,20,
,0,30.0,21,
,0,30.0,22,
,0,30.0,23,
,0,30.0,24,
,0,30.0,25,
0.5297999978065491,0,,25,1.8433998823165894
,0,30.0,26,
,0,30.0,27,
,0,30.0,28,
,0,30.0,29,
,0,30.0,30,
,0,30.0,31,
,0,30.0,32,
,0,30.0,33,
,0,30.0,34,
,0,30.0,35,
,0,30.0,36,
,0,30.0,37,
,0,30.0,38,
0.5767999887466431,0,,38,1.8509999513626099
,0,30.0,39,
,0,30.0,40,
,0,30.0,41,
,0,30.0,42,
,0,30.0,43,
,0,30.0,44,
,0,30.0,45,
,0,30.0,46,
,0,30.0,47,
,0,30.0,48,
,0,30.0,49,
,0,30.0,50,
,0,30.0,51,
0.6175999641418457,0,,51,2.022599935531616
,0,30.0,52,
,0,30.0,53,
,0,30.0,54,
,1,30.0,55,
,1,30.0,56,
,1,30.0,57,
,1,30.0,58,
,1,30.0,59,
,1,30.0,60,
,1,30.0,61,
,1,30.0,62,
,1,30.0,63,
,1,30.0,64,
,1,30.0,65,
,1,30.0,66,
,1,30.0,67,
0.6273999810218811,1,,67,2.026399850845337
,1,30.0,68,
,1,30.0,69,
,1,30.0,70,
,1,30.0,71,
,1,30.0,72,
,1,30.0,73,
,1,30.0,74,
,1,30.0,75,
,1,30.0,76,
,1,30.0,77,
,1,30.0,78,
,1,30.0,79,
,1,30.0,80,
0.6289999485015869,1,,80,2.002200126647949
,1,30.0,81,
,1,30.0,82,
,1,30.0,83,
,1,30.0,84,
,1,30.0,85,
,1,30.0,86,
,1,30.0,87,
,1,30.0,88,
,1,30.0,89,
,1,30.0,90,
,1,30.0,91,
,1,30.0,92,
,1,30.0,93,
0.6314000487327576,1,,93,2.018199920654297
,1,30.0,94,
,1,30.0,95,
,1,30.0,96,
,1,30.0,97,
,1,30.0,98,
,1,30.0,99,
,1,30.0,100,
,1,30.0,101,
,1,30.0,102,
,1,30.0,103,
,1,30.0,104,
,1,30.0,105,
,1,30.0,106,
